"  黃金谷
,# 113,"弩砲
Catapult",5.10b,傳攀 | Trad,21 m,,,與 <語言學家> 或 <瞞天過海> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"浪之外
Euro Wall",# 114.1,"瞞天過海 | P1
Ocean’s Eleven | P1",5.10c,傳攀 | Trad,25 m,"Dirk Saenger
—
Edgar Boehm",2003 / 01,原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,Ti-ETN,Ti-ETN,,,,2,已更新,2014 / 09 / 20 (週六),"2003 - Ferno-CT  x11 (設置者不詳)
2014/09/20 - Anchor更新為Ti-ETN (章醫師、老虎、大俠、小翔、jamy)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 / 09 / 20,2014 / 09 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 年,11 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 114.2,"瞞天過海 | P2
Ocean’s Eleven | P2",5.10b,傳攀 | Trad,12 m,"Dirk Saenger
—
Edgar Boehm",2003 / 08,原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,Ti-ETN,Ti-ETN,,,,2,已更新,2014 / 09 / 20 (週六),"2003 - Ferno-CT  x9 (設置者不詳)
2014/09/20 - Anchor更新為Ti-ETN (章醫師、老虎、大俠、小翔、jamy)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 / 09 / 20,2014 / 09 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 年,11 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 115.1,"濕濕毛毛 | P1
Wet and Hairy | P1",5.10b,傳攀 | Trad,18 m,"Dirk Saenger
—
Edgar Boehm",2003 / 06,原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,Ti-ETN,Ti-ETN,,,,2,已更新,2014 / 09 / 20 (週六),章醫師、老虎、大俠、小翔、jamy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 / 09 / 20,2014 / 09 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 年,11 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 115.2,"濕濕毛毛 | P2
Wet and Hairy | P2",5.11b,傳攀 | Trad,12 m,"Dirk Saenger
—
Edgar Boehm",2003 / 08,原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,Ti-ETN,Ti-ETN,,,,2,已更新,2014 / 09 / 20 (週六),章醫師、老虎、大俠、小翔、jamy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 / 09 / 20,2014 / 09 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 年,11 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 116.1,"雙色 | P1
Bi Color | P1",5.10c,傳攀 | Trad,18 m,"Dirk Saenger
—
Edgar Boehm",2003 / 06,"原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線
–
與 <濕濕毛毛 | P1> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 116.2,"雙色 | P2
Bi Color | P2",5.11a,傳攀 | Trad,12 m,"Dirk Saenger
—
Edgar Boehm",2003 / 08,原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,Ti-ETN,Ti-ETN,,,,2,已更新,2014 / 09 / 20 (週六),章醫師、老虎、大俠、小翔、jamy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 / 09 / 20,2014 / 09 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 年,11 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 116.3,"雙色 | P3
Bi Color | P3",5.10a,傳攀 | Trad,11 m,"Dirk Saenger
—
Edgar Boehm",2003 / 08,原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,Ti-ETN,Ti-ETN,,,,2,已更新,2014 / 09 / 20 (週六),章醫師、老虎、大俠、小翔、jamy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 / 09 / 20,2014 / 09 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 年,11 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 117.1,"一起爬傳攀 | P1
Let’s Do the Trad | P1",5.6,傳攀 | Trad,18 m,,,"Dirk & Edgar 在 2002/12 第一次攀登時，在路線上發現垂降用的傘帶
–
與 <濕濕毛毛 | P1> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 117.2,"一起爬傳攀 | P2
Let’s Do the Trad | P2",5.9,傳攀 | Trad,13 m,,,"Dirk & Edgar 在 2002/12 第一次攀登時，在路線上發現垂降用的傘帶
–
與 <雙色 | P2> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 117.3,"一起爬傳攀 | P3
Let’s Do the Trad | P3",5.7,傳攀 | Trad,12 m,,,"Dirk & Edgar 在 2002/12 第一次攀登時，在路線上發現垂降用的傘帶
–
與 <雙色 | P3> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 118,"前奏
Prelude
> 高潮迭起 / Climax | P1",5.5,傳攀 | Trad,7 m,"Edgar Boehm
—
Dirk Saenger",2001,原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,316-FX,316-FX,,先不裝鋼環,,2,已拉測,2019 / 07 / 14 (週日),"2013/08/24 由章醫師等人更新
–
合格 - 8 kN / 1 min / ×5次
測試人員：小魏、曉嵐、Sam、家祝"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 / 08 / 24,2013 / 08 / 24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 年,12 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 / 07 / 14,2019 / 07 / 14,,,,,,,
,# 119,"高潮
Climax
> 高潮迭起 / Climax | P2",5.10c,傳攀 | Trad,23 m,"Edgar Boehm
—
Dirk Saenger",2001,原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,先不裝鋼環,,2,已拉測,2019 / 07 / 14 (週日),"2013/08/24 由章醫師等人更新
–
合格 - 8 kN / 1 min / ×5次
測試人員：小魏、曉嵐、Sam、家祝"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 / 08 / 24,2013 / 08 / 24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 年,12 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 / 07 / 14,2019 / 07 / 14,,,,,,,
,# 120,"安可
Come Again
> 高潮迭起 / Climax | P3",5.10b,傳攀 | Trad,18 m,"Edgar Boehm
—
Dirk Saenger",2001,原為運攀路線，於2014更新Anchor，並於2018/03切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,先不裝鋼環,,2,已拉測,2019 / 07 / 14 (週日),"2013/08/24 由章醫師等人更新
–
合格 - 8 kN / 1 min / ×5次
測試人員：小魏、曉嵐、Sam、家祝"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 / 08 / 24,2013 / 08 / 24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 年,12 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 / 07 / 14,2019 / 07 / 14,,,,,,,
,# 121,"舞進五月天
Tanz in Den Mai",5.10c,傳攀 | Trad,27 m,"Edgar Boehm
—
Dirk Saenger",2001 / 05 / 01,原為運攀路線，於2014更新後正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,先不裝鋼環,,2,已更新,,2013/08/24 由章醫師等人更新
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 / 08 / 24,2013 / 08 / 24,,,,,,,
