"  黃金谷
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 138.0,"YumYum 斜板 
YumYum Slab",5.10d,上方架繩 | Toprope,18 m,,,"不使用左邊的裂隙
–
與 <金光> 共⽤ Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 139.0,"白臉 (舊：白面人)
White-Faced Man",5.11b,運攀 | Sport,18 m,,,原為上⽅架繩路線，2013新增Bolt後改為運攀路線,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,9,已拉測,2025 / 08 / 24 (週日),"2013/06/15-08/24 - 全線更新 (章醫師、卡拉等人)
–
2018/12/22 - B01 合格 - 8 kN / 1 min / ×5次 (老爹、小虎)
2019/09/09 - 全線合格 - 8 kN / 1 min / ×5次 (小虎、阿明)
2025/08/24 - 全線合格 - 8 kN / 1 min / ×5次 (曉嵐、家祝)"
,,,,,,,,,,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,,,,,,,,,,,,2013 / 06 / 15,2013 / 06 / 15,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,12 年,12 年,12 年,12 年,12 年,12 年,12 年,,,,,,,,,,,,12 年,12 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2019 / 09 / 09,2019 / 09 / 09,2019 / 09 / 09,2019 / 09 / 09,2019 / 09 / 09,2019 / 09 / 09,,,,,,,,,,,,2019 / 09 / 09,2019 / 09 / 09,,4 年,4 年,,,,
,,,,,,,,,,2025 / 08 / 24,2025 / 08 / 24,2025 / 08 / 24,2025 / 08 / 24,2025 / 08 / 24,2025 / 08 / 24,2025 / 08 / 24,,,,,,,,,,,,2025 / 08 / 24,2025 / 08 / 24,,,,,,,
,# 140.0,"黑臉 (舊：黑面人)
Black-Faced Man",5.12a,運攀 | Sport,18 m,,,原為上⽅架繩路線，2013新增Bolt後改為運攀路線,●●●,共用,共用,316-TW,316-TW,316-TW,316-TW,316-TW,Ti-TW,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,7,已拉測,2025 / 08 / 24 (週日),"2013/06/15 - 全線更新 (章醫師、卡拉等人)
2014/10/18 - 發現B07化學膠有問題，公告封閉
2017/01/07 - 更新為 316-TW (or Ti-TW?) (阿郎、芳源、景儒、小傑)
–
2019/09/09 - 全線合格 - 8 kN / 1 min / ×5次 (小虎、阿明)
2025/08/24 - 全線合格 - 8 kN / 1 min / ×5次 (曉嵐、家祝)"
,,,,,,,,,,,,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2017 / 01 / 07,2017 / 01 / 07,,,,,,,,,,,2013 / 06 / 15,2013 / 06 / 15,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,12 年,12 年,12 年,12 年,8 年,8 年,,,,,,,,,,,12 年,12 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,,,2019 / 09 / 09,2019 / 09 / 09,2019 / 09 / 09,2019 / 09 / 09,2019 / 09 / 09,,,,,,,,,,,,2019 / 09 / 09,2019 / 09 / 09,,,,,,,
,,,,,,,,,,,,2025 / 08 / 24,2025 / 08 / 24,2025 / 08 / 24,2025 / 08 / 24,2025 / 08 / 24,,,,,,,,,,,,2025 / 08 / 24,2025 / 08 / 24,,4 年,4 年,,,,
,# 141.0,"西岸
West Coast",5.9,傳攀 | Trad,23 m,,,,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 142.0,"我愛台灣
I Love Taiwan",5.9,傳攀 | Trad,23 m,,,與 <⻄岸> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,316-TW,梅隆鎖-316,垂降環-316,2,已拉測,2022 / 07 / 26 (週二),"[Pulltest]2022/07/26 合格 (涵茹 聖峰 彥綸)
[Pulltest]B02 合格 - 8 kN / 1 min / ×5次 (小虎、天健、涵茹、Nancy)
2013/06/15 - Anchor 更新 (章醫師等人)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 年,12 年,12 年,2021 / 01,2021 / 01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 / 07 / 26,2022 / 07 / 26,2022 / 07 / 26,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 / 06 / 20,2019 / 06 / 20,2019 / 06 / 20,4 年,4 年,,,,
,# 143.0,"東岸
East Coast",5.8,傳攀 | Trad,23 m,,,與 <⻄岸> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 144.0,"黑金
Black Gold",5.9,傳攀 | Trad,16 m,,,,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,2,已拉測,2022 / 07 / 26 (週二),"[Pulltest]2022/07/26 合格 (涵茹 聖峰 彥綸)
[Pulltest]B02 合格 - 8 kN / 1 min / ×5次 (小虎、天健、涵茹、Nancy)
Anchor 安裝日期待查 (預設為1月1日)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,2008,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 年,17 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 / 07 / 26,2022 / 07 / 26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 / 06 / 20,2019 / 06 / 20,,4 年,4 年,,,,
,# 145.0,"黑與棕
Black & Tan",5.8,傳攀 | Trad,16 m,,,與 <黑金> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 146.0,"黑魔法巫婆
Black Magic Woman",5.10b,傳攀 | Trad,26 m,,,"與 <黑金> 共⽤ Anchor，亦可繼續往上約10m使用新設的專屬 Anchor
–
2017/08/12 往上延伸約10m新增一組 Anchor (延伸段小心落石，建議配戴岩盔)",●●●,,,,,,,,,,,,,,,,,,,Ti-TW,Ti-TW,,,,2,已更新,2017 / 08 / 12 (週六),往上延伸約10m新增一組 Anchor (阿郎)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 / 08 / 12,2017 / 08 / 12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 年,8 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"傳奇岩
Legend Wall",# 147.0,"明明呆不到
Just Dyno",5.12c,運攀 | Sport,14 m,"吳彥儀
Yen-Yi Wu",2003 / 04 / 19,書中路線圖 (P.72) 的路線位置有大幅偏差,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,10,已拉測,2019 / 11 / 09 (週六),"2003 - 304-EXP (趙子凱)
2013/06/15 - 全線更新 (章醫師等人)
–
2018/12/22 - B01 合格 - 8 kN / 1 min / ×5次 (老爹、小虎)
2019/11/09 - 除B01外全線合格 - 8 kN / 1 min / ×5次 - 合格 (老爹、泰山、Ivy)"
,,,,,,,,,,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,2013 / 06 / 15,,,,,,,,,,,2013 / 06 / 15,2013 / 06 / 15,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,12 年,12 年,12 年,12 年,12 年,12 年,12 年,12 年,,,,,,,,,,,12 年,12 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,,,,4 年,4 年,,,,
,,,,,,,,,,,,,2019 / 11 / 09,2019 / 11 / 09,2019 / 11 / 09,2019 / 11 / 09,2019 / 11 / 09,,,,,,,,,,,2019 / 11 / 09,2019 / 11 / 09,,,,,,,
,# 148.0,"現實的制約
Conditional Reality",5.11b,運攀 | Sport,13 m,"朴來慶
Yum Yum",1991,書中路線圖 (P.72) 的路線位置有大幅偏差,●●●,316-TW,316-TW,Ti-TW,316-TW,316-TW,Ti-TW,316-TW,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,9,已更新,2019 / 12 / 03 (週二),"2013/06/07 - B01-B03 更新 (章醫師、卡拉、小蔡)
B04-B07 安裝日期待查 (預設為1月1日)
–
2018/12/22 - B01 合格 - 8 kN / 1 min / ×5次 (老爹、小虎)
2019/11/09 - 除B01至B03外全線合格 - 8 kN / 1 min / ×5次 - 合格 (老爹、泰山、Ivy)
2019/12/3 - 由阿郎等人新增B03,B06"
,,,,,,,,,,2013 / 06 / 07,2013 / 06 / 07,2019 / 12 / 03,2013 / 06 / 07,2011,2019 / 12 / 03,2011,,,,,,,,,,,,2011,2011,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,12 年,12 年,6 年,12 年,14 年,6 年,14 年,,,,,,,,,,,,14 年,14 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,,,,4 年,4 年,,,,
,,,,,,,,,,,2019 / 11 / 09,,2019 / 11 / 09,2019 / 11 / 09,,2019 / 11 / 09,,,,,,,,,,,,2019 / 11 / 09,2019 / 11 / 09,,,,,,,
,# 149.0,"大濟路線
TC Route",5.9,傳攀 | Trad,15 m,"王大濟
Ta-Chi Wang",1995 / 05 / 11,2015/01/04發現Anchor右側Bolt黏著膠出現異常 (軟化外漏)，但bolt本身並未鬆動,●●●,,,,,,,,,,,,,,,,,,,Ti-TW,Ti-TW,,,,2,已更新,2017 / 07 / 01 (週六),"2013/06/07 - Anchor 更新 (章醫師、卡拉、小蔡)
2015/01/04 - 發現 A02 有混合不全的化學膠外漏，公告封閉
2017/07/01 - 更新為Ti-TW (阿郎、芳源、景儒、小傑)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 / 01 / 07,2017 / 01 / 07,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 年,8 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 150.0,Thierry,5.8,傳攀 | Trad,15 m,"Thierry
—
王大濟
Ta-Chi Wang",1995 / 05 / 11,與 <⼤濟路線> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 151.0,"黃金傳奇
Golden Legend",5.13d,運攀 | Sport,23 m,Paul Brouard (南非),2010 / 08 / 01,"書中路線圖 (P.72) 起攀位置與路線下段繪製錯誤
–
B01-B07 與 <黃金傳奇> 共⽤",●●●,共用,共用,共用,共用,共用,共用,共用,共用,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,9,已更新,2019 / 10 / 06 (週日),"2003 - 304-EXP (趙子凱)
2013/06/07 - B07-B13、A01、A02 (章醫師、卡拉、小蔡)
–
2019/10/06 - 除共用bolt外全線合格 (小魏、涵茹)"
,,,,,,,,,,,,,,,,,,2013 / 06 / 07,2013 / 06 / 07,2013 / 06 / 07,2013 / 06 / 07,2013 / 06 / 07,2013 / 06 / 07,2013 / 06 / 07,,,,2013 / 06 / 07,2013 / 06 / 07,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,12 年,12 年,12 年,12 年,12 年,12 年,12 年,,,,12 年,12 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,,,,,,,,,2019 / 10 / 06,2019 / 10 / 06,2019 / 10 / 06,2019 / 10 / 06,2019 / 10 / 06,2019 / 10 / 06,2019 / 10 / 06,,,,2019 / 10 / 06,2019 / 10 / 06,,4 年,4 年,,,,
,# 152.0,"名不虛傳
The Real Legend",5.13a,運攀 | Sport,23 m,"周俊明
Jun-Min Jou",2003 / 05 / 03,,●●●,316-TW,316-TW,316-TW,316-TW,Ti-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,15,已更新,2019 / 08 / 28 (週三),"2003 - 304-EXP (康明哲)
2013/05/29 - 全線更新 (章醫師、一樵、二齒)
2019/08/01 - 阿郎回報B05化學膠有問題
–
2018/12/22 - B01合格 - 8 kN / 1 min / ×5次 (老爹、小虎)
2019/08/25 - B05失敗 - 完整拉出並掛牌封閉 (小魏)
2019/08/28 - 除B05外全線合格 (小虎、阿明)
2019/10/10 - 由阿郎阿寶等更新B05"
,,,,,,,,,,2013 / 05 / 29,2013 / 05 / 29,2013 / 05 / 29,2013 / 05 / 29,2019 / 10 / 10,2013 / 05 / 29,2013 / 05 / 29,2013 / 05 / 29,2013 / 05 / 29,2013 / 05 / 29,2013 / 05 / 29,2013 / 05 / 29,2013 / 05 / 29,,,,,,2013 / 05 / 29,2013 / 05 / 29,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,12 年,12 年,12 年,12 年,6 年,12 年,12 年,12 年,12 年,12 年,12 年,12 年,12 年,,,,,,12 年,12 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,,,,4 年,4 年,,,,
,,,,,,,,,,2019 / 08 / 28,2019 / 08 / 28,2019 / 08 / 28,2019 / 08 / 28,,2019 / 08 / 28,2019 / 08 / 28,2019 / 08 / 28,2019 / 08 / 28,2019 / 08 / 28,2019 / 08 / 28,2019 / 08 / 28,2019 / 08 / 28,,,,,,2019 / 08 / 28,2019 / 08 / 28,,,,,,,
,# 153.0,"無名氏
Mr. Anonymous",5.11d,運攀 | Sport,24 m,"Thierry
—
王大濟
Ta-Chi Wang",1995 / 05 / 11,原為傳攀路線，難度評級低於 5.11d，原始路線名稱為 <孤星 Quasar> – by 大濟,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,14,已拉測,2022 / 08 / 25 (週四),"[Pulltest]2022/07/21&8/25 - 全線合格 - 8 kN / 1 min / ×5次 (Michael、Jam)
[Pulltest]2019/04/21 - 全線合格 - 8 kN / 1 min / ×5次 (小魏、曉嵐)
[Pulltest]2018/12/22 - B01 合格 - 8 kN / 1 min / ×5次 (老爹、小虎)
所有 Bolt 安裝日期均待查 (預設為1月1日)"
,,,,,,,,,,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,,,,,,,2010,2010,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,,,,,,,15 年,15 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,2022 / 08 / 25,2022 / 08 / 25,2022 / 08 / 25,2022 / 08 / 25,2022 / 08 / 25,2022 / 08 / 25,2022 / 08 / 25,2022 / 08 / 25,2022 / 08 / 25,2022 / 07 / 21,2022 / 07 / 21,2022 / 07 / 21,,,,,,,2022 / 07 / 21,2022 / 07 / 21,,4 年,4 年,,,,
,,,,,,,,,,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,2019 / 04 / 21,,,,,,,2019 / 04 / 21,2019 / 04 / 21,,,,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 154.0,"不方便
Inconvenient",5.11a,運攀 | Sport,20 m,"趙子凱
Tzu-Kai Chao",2003 / 05 / 10,,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,9,已拉測,2022 / 09 / 20 (週二),"[Pulltest]2022/07/21&8/25 - 全線合格 - 8 kN / 1 min / ×5次 (涵茹、Jam)
[Pulltest]2019/10/21 - 全線合格 - 8 kN / 1 min / ×5次 (阿明、小虎)
[Pulltest]2018/12/22 - B01 合格 - 8 kN / 1 min / ×5次 (老爹、小虎)
2003 - 304-EXP (趙子凱)
2012/07/07 - 全線更新 (章醫師、阿郎)"
,,,,,,,,,,2012 / 07 / 07,2012 / 07 / 07,2012 / 07 / 07,2012 / 07 / 07,2012 / 07 / 07,2012 / 07 / 07,2012 / 07 / 07,,,,,,,,,,,,2012 / 07 / 07,2012 / 07 / 07,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,13 年,13 年,13 年,13 年,13 年,13 年,13 年,,,,,,,,,,,,13 年,13 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,2022 / 09 / 20,2022 / 09 / 20,2022 / 09 / 20,2022 / 09 / 20,2022 / 09 / 20,2022 / 09 / 20,2022 / 09 / 20,,,,,,,,,,,,2022 / 09 / 20,2022 / 09 / 20,,,,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,,,,4 年,4 年,,,,
,,,,,,,,,,2019 / 10 / 21,2019 / 10 / 21,2019 / 10 / 21,2019 / 10 / 21,2019 / 10 / 21,2019 / 10 / 21,2019 / 10 / 21,,,,,,,,,,,,2019 / 10 / 21,2019 / 10 / 21,,,,,,,
,# 155.0,"非常不方便
Very Inconvenient",5.12a,運攀 | Sport,24 m,"張登榮
Deng-Jung Chang",2003 / 07 / 13,B01-B08 與 <不方便> 共用,●●●,共用,共用,共用,共用,共用,共用,共用,共用,316-TW,316-TW,316-TW,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,5,已拉測,2022 / 09 / 20 (週二),"[Pulltest]2022/07/21&8/25 - 全線合格 - 8 kN / 1 min / ×5次 (涵茹、Jam)
[Pulltest]2019/10/21 - 全線合格 - 8 kN / 1 min / ×5次 (阿明、小虎)
2003 - 304-EXP (趙子凱，曾有Bolt斷裂，斷裂位置待查)
2012/7/7 - 全線更新 (章醫師、阿郎)"
,,,,,,,,,,,,,,,,,,2012 / 07 / 07,2012 / 07 / 07,2012 / 07 / 07,,,,,,,,2012 / 07 / 07,2012 / 07 / 07,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,13 年,13 年,13 年,,,,,,,,13 年,13 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,,,,,,,,,2022 / 09 / 20,2022 / 09 / 20,2022 / 09 / 20,,,,,,,,2022 / 09 / 20,2022 / 09 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,2019 / 10 / 21,2019 / 10 / 21,2019 / 10 / 21,,,,,,,,2019 / 10 / 21,2019 / 10 / 21,,4 年,4 年,,,,
,# 156.0,"方便
Convenient",5.9,運攀 | Sport,20 m,"趙子凱
Tzu-Kai Chao",2003,"現有難度評級偏低
–
與 <不方便> 共用 Anchor",●●●,共用,共用,共用,共用,共用,316-TW,316-TW,,,,,,,,,,,,共用,共用,,,,2,已拉測,2019 / 10 / 21 (週一),"2003 - 304-EXP (趙子凱)
2012/7/7 - 全線更新 (章醫師、阿郎)
–
2019/10/21 - 全線合格 - 8 kN / 1 min / ×5次 (阿明、小虎)"
,,,,,,,,,,,,,,,2012 / 07 / 07,2012 / 07 / 07,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13 年,13 年,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2019 / 10 / 21,2019 / 10 / 21,,,,,,,,,,,,,,,,,,,,
"比基尼洞穴
Bikini Cave",# 157.0,"迫不及待
No Time to Wait",5.13a,運攀 | Sport,16 m,"洪兆萱
Jau-Shiuan Hung",2011 / 04 / 27,,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,13,已拉測,2018 / 12 / 22 (週六),"所有 Bolt 安裝日期均待查 (預設為1月1日)
–
B01 合格 - 8 kN / 1 min / ×5次 (老爹、小虎)"
,,,,,,,,,,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,,,,,,,,2010,2010,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,,,,,,,,15 年,15 年,,2021 / 02,2021 / 02,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,,,,4 年,4 年,,,,
,# 158.0,"楔石
Chockstone",5.12a,運攀 | Sport,,Paul Brouard (南非),2010,Bolt 數量待確認,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,316-TW,316-TW,,,,11,已拉測,2018 / 12 / 22 (週六),"[通報]2021/1清點topanchor變成鈦bolt羊角
所有 Bolt 安裝日期均待查 (預設為1月1日)
–
B01 合格 - 8 kN / 1 min / ×5次 (老爹、小虎)"
,,,,,,,,,,2010,2010,2010,2010,2010,2010,2010,2010,2010,,,,,,,,,,2017,2017,,,,,,,
,,,,,,,,,,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,15 年,,,,,,,,,,8 年,8 年,,,,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 159.0,"防彈背心
Kevlar Vest",5.10d,傳攀 | Trad,20 m,Tony Bubb,2009 / 11 / 01,曾有傳⾔指出⾸攀者另有其⼈，但無相關資料佐證,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-ETN,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 年,8 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 160.0,"細帶比基尼
String Bikini",5.11a,傳攀 | Trad,20 m,,,與 <防彈背心> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 161.0,"丁字褲
Banana Hammock",5.10b,傳攀 | Trad,20 m,,,與 <防彈背心> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 162.0,"泳帽
Latex Cap",5.8,傳攀 | Trad,20 m,,,與 <防彈背心> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"塔岩
Tower Wall",# 163.0,"岩角
Dihedral",5.8,傳攀 | Trad,20 m,,,岩質不穩,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,"2021/12/19 
檢查時沒有見到固定點，
是否存在？
廷瑞、Ivy",,2,待確認,,"Anchor 安裝日期待查 (預設為1月1日) - 由章醫師更新
[report]20211219 bolt未見到(廷瑞 Ivy)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 164.0,"黃金
Gold",5.11d,傳攀 | Trad,18 m,"柯煥祥
Huan-Shiang Ke",1990年代初期,⽀點多半為⼩號岩楔，且難關處不易架設，請⾃⾏斟酌,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,2,已拉測,2021 / 12 / 19 (週日),"[Pulltest]20211219 top anchor測試,bolt已清點(廷瑞 Ivy)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 03 / 13,2011 / 03 / 13,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,2021 / 02,2021 / 02,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 / 12 / 19,2021 / 12 / 19,,4 年,4 年,,,,
,# 165.0,"柳丁皮
Orange Peel",5.10a,傳攀 | Trad,18 m,"禤志剛
Lawrence Huen",,"岩質不穩、⽀點難架設
–
與<⿈⾦>共⽤ Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 166.0,"熱身二
Warmup II",5.9,傳攀 | Trad,18 m,"禤志剛
Lawrence Huen",,"岩質不穩、⽀點難架設
–
與<⿈⾦>共⽤ Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 167.0,"熱身一
Warmup I",5.8,傳攀 | Trad,18 m,"禤志剛
Lawrence Huen",,岩質不穩,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,2,已拉測,2021 / 12 / 19 (週日),"[Pulltest]20211219 top anchor測試,bolt已清點(廷瑞 Ivy)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 03 / 13,2011 / 03 / 13,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,2021 / 02,2021 / 02,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 / 12 / 19,2021 / 12 / 19,,4 年,4 年,,,,
,# 168.0,"入口8
Entrance Eight",5.8,傳攀 | Trad,19 m,"李世藩
Shih-Fan Li",,無 Anchor (待確認),●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
