"  第二洞
  Second Cave",86,支 Bolt,51,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,Anchor配件,,Bolt統計,路線狀態,日期,備註
,# 237,"沙漠
The Desert",5.12d,運攀 | Sport,14 m,"吳彥儀 (上方架繩)
Yen-Yi Wu (FTRA)",2002 / 06 / 09,原為上⽅架繩路線，2012年更新為運動路線,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,Ti-TW,Ti-TW,,,,10,已拉測,2020 / 03 / 26 (週四),"2012/07/04 - 更新 B01-B08 (章醫師、游張、二齒)
2018/05/19 - Anchor 更新為 Ti-TW (阿郎、景儒)
–
2020/03/26 -  8 kN / 1 min / ×5次 - 全線合格 (Maurice、Jam、阿明)"
,,,,,,,,,,2012 / 07 / 25,2012 / 07 / 25,2012 / 07 / 25,2012 / 07 / 25,2012 / 07 / 25,2012 / 07 / 25,2012 / 07 / 25,2012 / 07 / 25,,,,,,,,,,,2018 / 05 / 19,2018 / 05 / 19,,,,,,,
,,,,,,,,,,13 年,13 年,13 年,13 年,13 年,13 年,13 年,13 年,,,,,,,,,,,7 年,7 年,,,,,,,
,,,,,,,,,,2020 / 03 / 26,2020 / 03 / 26,2020 / 03 / 26,2020 / 03 / 26,2020 / 03 / 26,2020 / 03 / 26,2020 / 03 / 26,2020 / 03 / 26,,,,,,,,,,,,,,,,,,,
,# 238,"泥巴倒拉
Muddy Undercling",5.10c,傳攀 | Trad,14 m,"朴來慶
Yum Yum",1998 / 10 / 12,"《前進龍洞岩場》記載為 <空中倒拉> 與 <泥巴> 兩條路線
–
與 <沙漠> 共⽤ Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 0,私設路線，名稱暫未採用,5.10d,混合 | Mixed,,,,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 0,私設路線，名稱暫未採用,5.11b,混合 | Mixed,,,,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 0,私設路線，名稱暫未採用,5.6,傳攀 | Trad,,,,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,待新增鋼環,3處,,,,
,統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,304-FX,304 - Fixe,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,304-PC,304 - Petzl - Collinox,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,304-PB,304 - Petzl - Batinox,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,304-P38,304 - Petzl - Long Life,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,304-AA,304 - AustriAlpin,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,304-EXP,304 - Expension,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,316-FX,316 - Fixe,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,316-TW,316 - 台製,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ti-ETN,Ti - Titan Climbing - Eterna,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ti-U,Ti - Titan Climbing - U形,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ti-TTG,Ti - Ushba - Tortuga,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ti-TW,Ti - 台製,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,304 Bolt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,316 Bolt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Titanium Bolt,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,運攀,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,傳攀,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,上方架繩,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,抱石,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,未收錄,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,私設,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
