"  校門口
,,,,,,,,,,19 年,19 年,19 年,19 年,19 年,19 年,19 年,19 年,19 年,19 年,,,,,,,,,19 年,19 年,2020 / 12 / 01,2020 / 12 / 01,,,,
,,,,,,,,,,,2018 / 10 / 27,,,,,,,,,,,,,,,,,,,5 年,5 年,,,,
,,,,,,,,,,2019 / 04 / 13,已測故略過,2019 / 04 / 13,2019 / 04 / 13,2019 / 04 / 13,2019 / 04 / 13,2019 / 04 / 13,2019 / 04 / 13,2019 / 04 / 13,2019 / 04 / 13,,,,,,,,,2019 / 04 / 13,2019 / 04 / 13,,,,,,
,,,,,,,,,,2022 / 04 / 25,2022 / 04 / 25,2022 / 04 / 25,2022 / 04 / 25,2022 / 04 / 25,2022 / 04 / 25,2022 / 04 / 25,2022 / 04 / 25,2022 / 04 / 25,2022 / 04 / 25,,,,,,,,,2022 / 04 / 25,2022 / 04 / 25,,,,,,
,# 527,"戰鬥
Fight",5.11c,運攀 | Sport,,"王大濟
Ta-Chi Wang",1997,,●●●,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,,,,,,,,,,Ti-U,Ti-U,,,11,已更新,,"目前表列Bolt日期為舊304切除日期；
Lead bolt的P形Eterna Bolt (Ti) 安裝日期待查 (預設為1月1日)
Anchor的U形鈦Bolt安裝日期待查 (預設為1月1日)"
,,,,,,,,,,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,,,,,,,,,,2016,2016,,,,,,
,,,,,,,,,,8 年,8 年,8 年,8 年,8 年,8 年,8 年,8 年,8 年,,,,,,,,,,9 年,9 年,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 528,"絕不低頭
Don’t Look Down
(舊名：Talking 'bout a revolution)",5.12a,運攀 | Sport,,"吳彥儀
Yen-Yi Wu",1997,,●●●,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,,,,,,,,,,,,,,Ti-U,Ti-U,,,7,已更新,,"目前表列Bolt日期為舊304切除日期，Lead bolt的P形Eterna Bolt (Ti) 安裝日期待查 (預設為1月1日)
Anchor的U形鈦Bolt安裝日期待查 (預設為1月1日)"
,,,,,,,,,,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,2017 / 10 / 28,,,,,,,,,,,,,,2016,2016,,,,,,
,,,,,,,,,,8 年,8 年,8 年,8 年,8 年,,,,,,,,,,,,,,9 年,9 年,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 529,"Disco大裂隙
Disco Fistcrack",5.10a,傳攀 | Trad,19 m,,,與 <戰鬥> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,[通報]2021/1/23 bolt已清點(阿郎)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 530,"鼻子
Nose",5.11a,傳攀 | Trad,19 m,,,與 <戰鬥> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,[通報]2021/1/23 bolt已清點(阿郎)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 531,"Disco右裂隙
Right Disco Crack",5.10b,傳攀 | Trad,19 m,,,與 <戰鬥> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,[通報]2021/1/23 bolt已清點(阿郎)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 532,"三重
Triple",5.12c,上方架繩 | Toprope,19 m,"朴來慶 (上方架繩)
Yum Yum (FTRA)",,"需⾃⾏架設確保站
再以 <戰⾾> 的 Anchor 垂降",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 533,"三重關
Triple Cruxes
(舊名：迷你裂隙)",5.13b,運攀 | Sport,,"朴來慶
Yum Yum",,《RCT》書中路線圖懸岩後部分過度偏右,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,,,Ti-U,Ti-U,,,7,已拉測,2018 / 10 / 27 (週六),"Bolt安裝日期待查；Anchor的U形鈦Bolt安裝日期待查 (預設皆為1月1日)
–
B02 合格 - 8 kN / 1 min / ×5次 (老爹、小嵐、小魏)"
,,,,,,,,,,2006,2006,2006,2006,2006,,,,,,,,,,,,,,2016,2016,,,,,,
,,,,,,,,,,19 年,19 年,19 年,19 年,19 年,,,,,,,,,,,,,,9 年,9 年,,,,,,
,,,,,,,,,,,2018 / 10 / 27,,,,,,,,,,,,,,,,,,,,,,,,
,# 534,"絕響
Inimitable
(舊名：Black Face)",5.14a,運攀 | Sport,,"朴來慶
Yum Yum",,原級數為5.13c/d，但Yuji Hirayama在試過後認為5.14a應會更恰當,●●●,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,,,,,,,,,,,,,,,Ti-U,Ti-U,,,6,已更新,,Lead bolt的P形Eterna Bolt安裝日期待查；Anchor的U形鈦Bolt安裝日期待查 (預設皆為1月1日)
,,,,,,,,,,2017,2017,2017,2017,,,,,,,,,,,,,,,2016,2016,,,,,,
,,,,,,,,,,8 年,8 年,8 年,8 年,,,,,,,,,,,,,,,9 年,9 年,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 535,"黑面岩角
Blackface-Arête",5.11d,運攀 | Sport,7 m,"張登榮
Deng-Jung Chang",2000,據傳更早前曾有人以傳攀先鋒 ,●●●,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,,,,,,,,,,,,,,Ti-U,Ti-U,,,7,已更新,,Lead bolt的P形Eterna Bolt安裝日期待查；Anchor的U形鈦Bolt安裝日期待查 (預設皆為1月1日)
,,,,,,,,,,2017,2017,2017,2017,2017,,,,,,,,,,,,,,2016,2016,,,,,,
,,,,,,,,,,8 年,8 年,8 年,8 年,8 年,,,,,,,,,,,,,,9 年,9 年,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
